id,code,desc
1,P0000,No fault
2,P0001,Fuel volume regulator control -circuit open
3,P0002,Fuel volume regulator control -circuit range/performance
4,P0003,Fuel volume regulator control -circuit low
5,P0004,Fuel volume regulator control -circuit high
6,P0005,Fuel shut -off valve -circuit open
7,P0006,Fuel shut -off valve -circuit low
8,P0007,Fuel shut -off valve -circuit high
9,P0008,"Engine position system, bank 1 -engine performance"
10,P0009,"Engine position system, bank 2 -engine performance"
11,P000A,A Camshaft Position Slow Response
12,P000B,B Camshaft Position Slow Response
13,P000C,A Camshaft Position Slow Response
14,P000D,B Camshaft Position Slow Response
15,P000E,Fuel Volume Regulator Control Exceeded Learning Limit
16,P000F,Fuel System Over Pressure Relief Valve Activated
17,P0010,"Camshaft position (CMP) actuator, intake/left/front, bank 1 circuit malfunction"
18,P0011,"Camshaft position (CMP), intake/left/front, bank 1 timing over advanced/system performance"
19,P0012,"Camshaft position (CMP), intake/left/front, bank 1 timing over -retarded"
20,P0013,"Camshaft position (CMP) actuator, exhaust/right/rear, bank 1 -circuit malfunction"
21,P0014,"Camshaft position (CMP) actuator, exhaust/right/rear, bank 1 -timing over -advanced/system performance"
22,P0015,"Camshaft position (CMP) actuator, exhaust/right/rear, bank 1 -timing over -retarded"
23,P0016,"Crankshaft position/camshaft position, bank 1 sensor A -correlation"
24,P0017,"Crankshaft position/camshaft position, bank 1 sensor B -correlation"
25,P0018,"Crankshaft position/camshaft position, bank 2 sensor A -correlation"
26,P0019,"Crankshaft position/camshaft position, bank 2 sensor B -correlation"
27,P001A,A Camshaft Profile Control Circuit/Open
28,P001B,A Camshaft Profile Control Circuit Low
29,P001C,A Camshaft Profile Control Circuit High
30,P001D,A Camshaft Profile Control Circuit/Open
31,P001E,A Camshaft Profile Control Circuit Low
32,P001F,A Camshaft Profile Control Circuit High
33,P0020,"Camshaft position (CMP) ·actuator, intake/left/front, bank 2 -circuit malfunction"
34,P0021,"Camshaft position (CMP); intake/left/front, bank 2 timing over -advanced/system performance"
35,P0022,"Camshaft position (CMP), intake/left/front, bank 2. timing over -retarded"
36,P0023,"Camshaft position (CMP) actuator, exhaust/right/rear, bank 2 -circuit malfunction"
37,P0024,"Camshaft position (CMP), exhaust/right/rear, bank 2 -timing over -advanced/system performance"
38,P0025,"Camshaft position (CMP), exhaust/right/rear, bank 2 -timing over -retarded"
39,P0026,"Intake valve control solenoid circuit, bank 1 range/performance"
40,P0027,"Exhaust valve control solenoid circuit, bank 1 range/performance"
41,P0028,"Intake valve control solenoid circuit, bank 2 range/performance"
42,P0029,"Exhaust valve control solenoid circuit, bank 2 range/performance"
43,P002A,B Camshaft Profile Control Circuit/Open
44,P002B,B Camshaft Profile Control Circuit Low
45,P002C,B Camshaft Profile Control Circuit High
46,P002D,B Camshaft Profile Control Circuit/Open
47,P002E,B Camshaft Profile Control Circuit Low
48,P002F,B Camshaft Profile Control Circuit High
49,P0030,"Heated oxygen sensor (HO2S) 1, bank 1, heater control -circuit malfunction"
50,P0031,"Heated oxygen sensor (HO2S) 1, bank 1, heater control -circuit low"
51,P0032,"Heated oxygen sensor (HO2S) 1, bank 1, heater control -circuit high"
52,P0033,Turbocharger (TC) wastegate regulating valve -circuit malfunction
53,P0034,Turbocharger (TC) wastegate regulating valve -circuit low
54,P0035,Turbocharger (TC) wastegate regulating valve -circuit high
55,P0036,"Heated oxygen sensor (HO2S) 2, bank 1, heater control -circuit malfunction"
56,P0037,"Heated oxygen sensor (HO2S) 2, bank 1, heater control -circuit low"
57,P0038,"Heated oxygen sensor (HO2S) 2, bank 1, heater control -circuit high"
58,P0039,"Turbo/super charger bypass valve, control circuit range/performance"
59,P003A,"Turbocharger/Supercharger Boost Control ""A"" Position Exceeded Learning Limit"
60,P003B,"Turbocharger/Supercharger Boost Control ""B"" Position Exceeded Learning Limit"
61,P003C,A Camshaft Profile Control Performance/Stuck Off
62,P003D,A Camshaft Profile Control Stuck On
63,P003E,A Camshaft Profile Control Performance/Stuck Off
64,P003F,A Camshaft Profile Control Stuck On
65,P0040,"Oxygen sensor signals swapped, bank 1 sensor 1 /bank 2 sensor 1"
66,P0041,"Oxygen sensor signals swapped, bank 1 sensor 2/bank 2 sensor 2"
67,P0042,"Heated oxygen sensor (HO2S) 3, bank 1, heater control -circuit malfunction"
68,P0043,"Heated oxygen sensor (HO2S) 3, bank 1, heater control circuit low"
69,P0044,"Heated oxygen sensor (HO2S) 3, bank 1, heater control -circuit high"
70,P0045,Turbo/super charger boost control solenoid -circuit open
71,P0046,Turbo/super charger boost control solenoid circuit range/performance
72,P0047,Turbo/super charger boost control solenoid -circuit low
73,P0048,Turbo/super charger boost control solenoid -circuit high
74,P0049,Turbo/super charger turbine -over -speed
75,P004A,"Turbocharger/Supercharger Boost Control ""B"" Circuit/Open"
76,P004B,"Turbocharger/Supercharger Boost Control ""B"" Circuit Range/Performance"
77,P004C,"Turbocharger/Supercharger Boost Control ""B"" Circuit Low"
78,P004D,"Turbocharger/Supercharger Boost Control ""B"" Circuit High"
159,P009E,Fuel Pressure Relief Control Performance/Stuck Off
79,P004E,"Turbocharger/Supercharger Boost Control ""A"" Circuit Intermittent/Erratic"
80,P004F,"Turbocharger/Supercharger Boost Control ""B"" Circuit Intermittent/Erratic"
81,P0050,"Heated oxygen sensor (HO2S) 1, bank 2, heater control circuit malfunction"
82,P0051,"Heated oxygen sensor (HO2S) 1, bank 2, heater control -circuit low"
83,P0052,"Heated oxygen sensor (HO2S) 1, bank 2, heater control -circuit high"
84,P0053,"Heated oxygen sensor (HO2S), bank 1, sensor 1 -heater resistance"
85,P0054,"Heated oxygen sensor (HO2S), bank 1, sensor 2 -heater resistance"
86,P0055,"Heated oxygen sensor (HO2S), bank 1, sensor 3 -heater resistance"
87,P0056,"Heated oxygen sensor (HO2S) 2, bank 2, heater control -circuit malfunction"
88,P0057,"Heated oxygen sensor (HO2S) 2, bank 2, heater control heater circuit low"
89,P0058,"Heated oxygen sensor (HO2S) 2, bank 2, heater control circuit high"
90,P0059,"Heated oxygen sensor (HO2S), bank 2, sensor 1 -heater resistance"
91,P005A,B Camshaft Profile Control Performance/Stuck Off
92,P005B,B Camshaft Profile Control Stuck On
93,P005C,B Camshaft Profile Control Performance/Stuck Off
94,P005D,B Camshaft Profile Control Stuck On
95,P005E,"Turbocharger/Supercharger Boost Control ""B"" Supply Voltage Circuit Low"
96,P005F,"Turbocharger/Supercharger Boost Control ""B"" Supply Voltage Circuit High"
97,P0060,"Heated oxygen sensor (HO2S), bank 2, sensor 2 -heater resistance"
98,P0061,"Heated oxygen sensor (HO2S), bank 2, sensor 3 -heater resistance"
99,P0062,"Heated oxygen sensor (HO2S) 3, bank 2, heater control circuit malfunction"
100,P0063,"Heated oxygen sensor (HO2S) 3, bank 2, heater control circuit low"
101,P0064,"Heated oxygen sensor (HO2S) 3, bank 2, heater control circuit high"
102,P0065,Air assisted injector -range/performance problem
103,P0066,Air assisted injector -circuit malfunction/circuit low
104,P0067,Air assisted injector -circuit high
105,P0068,Manifold absolute pressure (MAP) sensor/mass air flow (MAF) sensor/throttle position correlation
106,P0069,Manifold absolute pressure (MAP) sensor/barometric pressure (BARO) sensor correlation
107,P006A,MAP - Mass or Volume Air Flow Correlation
108,P006B,MAP - Exhaust Pressure Correlation
109,P006C,MAP - Turbocharger/Supercharger Inlet Pressure Correlation
110,P006D,Barometric Pressure - Turbocharger/Supercharger Inlet Pressure Correlation
111,P006E,"Turbocharger/Supercharger Boost Control ""A"" Supply Voltage Circuit Low"
112,P006F,"Turbocharger/Supercharger Boost Control ""A"" Supply Voltage Circuit High"
113,P0070,Outside air temperature sensor -circuit malfunction
114,P0071,Outside air temperature sensor -range/performance problem
115,P0072,Outside air temperature sensor -low input
116,P0073,Outside air temperature sensor -high input
117,P0074,Outside air temperature sensor -circuit intermittent
118,P0075,"Intake valve control solenoid, bank 1 -circuit malfunction"
119,P0076,"Intake valve control solenoid, bank 1 -circuit low"
120,P0077,"Intake valve control solenoid, bank 1 -circuit high"
121,P0078,"Exhaust valve control solenoid, bank 1 -circuit malfunction"
122,P0079,"Exhaust valve control solenoid, bank 1 -circuit low"
123,P007A,Charge Air Cooler Temperature Sensor Circuit
124,P007B,Charge Air Cooler Temperature Sensor Circuit Range/Performance
125,P007C,Charge Air Cooler Temperature Sensor Circuit Low
126,P007D,Charge Air Cooler Temperature Sensor Circuit High
127,P007E,Charge Air Cooler Temperature Sensor Circuit Intermittent/Erratic
128,P007F,Charge Air Cooler Temperature Sensor Bank1/Bank2 Correlation
129,P0080,"Exhaust valve control solenoid, bank 1 -circuit high"
130,P0081,"Intake valve control solenoid, bank 2 -circuit malfunction"
131,P0082,"Intake valve control solenoid, bank 2 -circuit low"
132,P0083,"Intake valve control solenoid, bank 2 -circuit high"
133,P0084,"Exhaust valve control solenoid, bank 2 -circuit malfunction"
134,P0085,"Exhaust valve control solenoid, bank 2 -circuit low"
135,P0086,"Exhaust valve control solenoid, bank 2 -circuit high"
136,P0087,Fuel rail/system pressure too low
137,P0088,Fuel rail/system pressure too high
138,P0089,Fuel pressure regulator -performance problem
139,P008A,Low Pressure Fuel System Pressure - Too Low
140,P008B,Low Pressure Fuel System Pressure - Too High
141,P008C,Fuel Cooler Pump Control Circuit/Open
142,P008D,Fuel Cooler Pump Control Circuit Low
143,P008E,Fuel Cooler Pump Control Circuit High
144,P008F,Engine Coolant Temperature/Fuel Temperature Correlation
145,P0090,Fuel metering solenoid -open circuit
146,P0091,Fuel metering solenoid - -short to earth
147,P0092,Fuel metering solenoid -short to positive
148,P0093,Fuel system leak -large leak detected
149,P0094,Fuel system leak -small leak detected
150,P0095,Intake air temperature (IAT) sensor 2 -circuit malfunction
151,P0096,Intake air temperature (IAT) sensor 2 -circuit range/performance
152,P0097,Intake air temperature (IAT) sensor 2 -circuit low input
153,P0098,Intake air temperature (IAT) sensor 2 -circuit high input
154,P0099,Intake air temperature (IAT) sensor 2 -circuit intermittent/erratic
155,P009A,Intake Air Temperature/Ambient Air Temperature Correlation
156,P009B,Fuel Pressure Relief Control Circuit/Open
157,P009C,Fuel Pressure Relief Control Circuit Low
158,P009D,Fuel Pressure Relief Control Circuit High
1046,P057B,ISO/SAE Reserved
160,P009F,Fuel Pressure Relief Control Stuck On
161,P00A0,Charge Air Cooler Temperature Sensor Circuit
162,P00A1,Charge Air Cooler Temperature Sensor Circuit Range/Performance
163,P00A2,Charge Air Cooler Temperature Sensor Circuit Low
164,P00A3,Charge Air Cooler Temperature Sensor Circuit High
165,P00A4,Charge Air Cooler Temperature Sensor Circuit Intermittent/Erratic
166,P00A5,Intake Air Temperature Sensor 2 Circuit
167,P00A6,Intake Air Temperature Sensor 2 Circuit Range/Performance
168,P00A7,Intake Air Temperature Sensor 2 Circuit Low
169,P00A8,Intake Air Temperature Sensor 2 Circuit High
170,P00A9,Intake Air Temperature Sensor 2 Circuit Intermittent/Erratic
171,P00AA,Intake Air Temperature Sensor 1 Circuit
172,P00AB,Intake Air Temperature Sensor 1 Circuit Range/Performance
173,P00AC,Intake Air Temperature Sensor 1 Circuit Low
174,P00AD,Intake Air Temperature Sensor 1 Circuit High
175,P00AE,Intake Air Temperature Sensor 1 Circuit Intermittent
