id,number,carmanufacturers,model_id
1,0261S02186,VW,1
2,0261S02137,VW,1
3,0261S02192,Audi,2
4,0261S01035,VW,3
5,0261S02196,VW,1
6,0261S10804,Fiat,4
7,0261S04360,VW,5
8,0261S06108,AUDI,6
9,0261S04767,SEAT,7
10,0261S15458,BMW,8
11,0261S06110,AUDI,6
12,0261S05349,VW,7
13,0261S06038,Mercedes-Benz,9
14,0261S04263,VW,10
15,0261S09939,BMW,11
16,0261S09706,BMW / Mini,11
17,0261S02390,VW,1
18,0261S06036,Skoda,7
19,0261S02184,VW,1
20,0261S09721,BMW,8
21,0261S06212,VW,12
22,0261S06364,VW,7
23,0261S05812,VW,7
24,0261S06109,AUDI,6
25,0261S06338,VW,13
26,0261S06048,VW,12
27,0261S06720,VW,7
28,0261S07391,VW,12
29,0261S06709,VW,7
30,0261S07021,VW,13
31,0261209609,Mercedes,14
32,0261S02022,Audi,1
33,0261S02303,VW,1
34,0261S02415,VW,2
35,0261S01006,VW,3
36,0261S02024,Audi,1
37,0261S04262,VW,10
38,0261S04415,AUDI,13
39,0261S10974,BMW,8
40,0261S09940,BMW / Mini,11
41,0261S06516,Mercedes-Benz,15
42,0261S06498,Mercedes,16
43,0261S06497,Mercedes-Benz,16
44,0261S01054,Alfa Romeo,17
45,0261S15498,FORD,18
46,0261S02141,VW,1
47,0261S04432,VW,5
48,0261S06496,Mercedes-Benz,16
49,0261S06222,VW,12
50,0261S06185,VW,13
51,0261S18083,Dallara,19
52,0261S02783,VW,2
53,0261S05579,Mercedes,16
54,0261S06487,VW,7
55,0261S06693,VW,7
56,0261S06531,BENTLEY,20
57,0261S06668,"BENTLEY, BMW, VW",20
58,0261S07392,VW,12
59,0261S13662,MINI (BMW),11
60,0261S06556,VW,6
61,0261S06351,VW,7
62,0261S07639,FORD,21
63,0261S06643,VW,7
64,0261S05580,Mercedes,16
65,0261S04094,VW,5
66,0261S04792,VW,10
67,0261S05732,VW,5
68,0261S06186,VW,13
69,0261S06100,VW,7
70,0261S06044,PORSCHE,6
71,0261S05745,VW,7
72,0261S06113,VW,7
73,0261S04594,VW,5
74,0261S09814,Mercedes-Benz,9
75,0261S06014,VW,12
76,0261S06040,VW,6
77,0261S06486,VW,7
78,0261S06568,BENTLEY,20
79,0261S06669,"BENTLEY, BMW, VW",20
80,0261S06218,VW,12
81,0261S04821,Mercedes-Benz,15
82,0261209601,Mercedes,14
83,0261S02255,VW,1
84,0261S02092,VW,1
85,0261209602,Mercedes,14
86,0261S06456,FORD,21
87,0261S04557,VW,5
88,0261S04555,VW,5
89,0261S06219,VW,12
90,0261S04347,VW,7
91,0261S04559,VW,5
92,0261S05737,MAYBACH,22
93,0261S04576,VW,5
94,0261S02239,Audi,1
95,0261S04158,BMW,23
96,0261S02044,Audi,1
97,0261S05810,VW,7
98,0261S06520,BENTLEY,20
99,0261S11549,BMW,8
100,0261S06670,"BENTLEY, BMW, VW",20
101,0261S06704,VW,7
102,0261S05741,SKODA,5
103,0261S06012,VW,12
104,0261S07115,VW,24
105,0261206551,SEAT,25
106,0261206619,VW,26
107,0261S07130,Audi,6
108,0261206789,AUDI,26
109,0261S06181,AUDI,13
110,0261S06532,BENTLEY,20
111,0261206781,AUDI,26
112,0261207183,VW,27
113,0261S04958,VW,5
114,0261S06536,BENTLEY,20
115,0261206444,"AUDI, VW",25
116,0261S06539,BENTLEY,20
117,0261206436,VW,25
118,0261S07005,VW,7
119,0261206553,VW,25
120,0261S05568,VW,28
121,0261S05129,VW,29
122,0261S05592,VW,28
123,0261S06667,"BENTLEY, BMW, VW",20
124,0261206529,AUDI,25
125,0261206521,AUDI,25
126,0261207177,VW,27
127,0261206535,"AUDI, VW",25
128,0261206556,"AUDI, VW",26
129,0261206435,AUDI,25
130,0261206598,VW,25
131,0261S06754,BENTLEY,20
132,0261206545,SEAT,25
133,0261206579,PORSCHE,30
134,0261206600,"SEAT, VW",25
135,0261S05199,VW,20
136,0261S06362,VW,29
137,0261206441,AUDI,25
138,0261S07179,BMW,31
139,0261207081,VW,25
140,0261206814,VW,26
141,0261206859,"SEAT, VW",27
142,0261206523,AUDI,25
143,0261206450,AUDI,25
144,0261206525,AUDI,25
145,0261206601,"SEAT, VW",25
146,0261207113,VW,25
147,0261206830,VW,20
148,0261206269,VW,25
149,0261S05634,BENTLEY,20
150,0261S06535,BENTLEY,20
151,0261206811,VW,26
152,0261206813,VW,26
153,0261206239,VW,26
154,0261S05198,VW,20
155,0261206888,VW,25
156,0261206955,VW,26
157,0261S06233,VW,29
158,0261206381,AUDI,26
159,0261S06525,VW,28
160,0261S04803,Shanghai Volkswagen,25
161,0261S06026,VW,29
162,0261206317,VW,25
163,0261207114,VW,27
164,0261206737,SEAT,27
165,0261207200,VW,27
166,0261206852,VW,27
167,0261206873,VW,25
168,0261206824,SEAT,27
169,0261206829,Volvo,32
170,0261206874,VW,25
171,0261206857,VW,27
172,0261206825,SEAT,27
173,0261206866,SEAT,25
174,0261206608,VW,25
175,0261207470,VW,26
176,0261207235,VW,27
177,0261207500,AUDI,26
178,0261207236,VW,25
179,0261206964,"SKODA, VW",25
180,0261207204,"AUDI, SKODA",25
181,0261207379,VW,26
182,0261S06358,VW,28
183,0261207267,VW,26
184,0261207010,AUDI,26
185,0261S05425,VW,25
186,0261206854,VW,27
187,0261S10718,BMW,33
188,0261206611,AUDI,25
189,0261S05596,VW,28
190,0261206868,AUDI,25
191,0261206962,VW,25
192,0261S06029,VW,29
193,0261S06184,VW,20
194,0261S07314,VW,29
195,0261S08190,VW,28
196,0261S06226,VW,29
197,0261S05155,VW,29
198,0261S10715,BMW / Mini,34
199,0261S07107,VW,29
200,0261S05219,VW,20
201,0261S10717,BMW,33
202,0261S06762,BENTLEY,20
203,0261S05130,VW,29
204,0261S07308,Audi,20
205,0261S08385,VW,29
206,0261S10506,BMW,33
207,0261S05378,"BENTLEY, VW",20
208,0261206522,"AUDI, VW",25
209,0261S05323,BENTLEY,20
210,0261S10508,BMW,33
211,0261207557,VW,25
212,0261S06759,BENTLEY,20
213,0261206793,AUDI,25
214,0261206872,AUDI,25
215,0261207190,VW,27
216,0261206858,VW,27
217,0261206809,VW,26
218,0261206527,AUDI,25
219,0261206889,SKODA,25
220,0261S10505,BMW,33
