id,name,fuel_type
1,250 i.e.,P
2,400 i.e. Sprint,P
3,500 i.e. Sprint,P
4,1200 ABS,P
5,1200 ABS Rally Raid,P
6,1200 ABS Travel Pack,P
7,750 ABS,P
8,750 Factory,P
9,750 Factory ABS,P
10,900,P
11,850,P
12,850 GT ABS,P
13,125 Replica,P
14,660,P
15,125,P
16,1000 R Factory,P
17,1100,P
18,1100 Factory,P
19,Factory,P
20,Factory APRC ABS,P
21,R,P
22,R-FW,P
23,RF ABS,P
24,RR ABS,P
25,RR APRC ABS,P
26,125 i.e.,P
27,200 i.e.,P
28,300 i.e. Special,P
29,500 GT ABS,P
30,750,P
31,750 GT,P
32,750 GT ABS,P
33,300 i.e.,P
34,850 ABS,P
35,1000,P
36,1000 R,P
37,1000 R Factoru,P
38,660 Factory,P
39,V4 1100 Factory,P
40,V4 1100 RR,P
41,V4 R,P
42,V4 R APRC,P
43,V4 R APRC ABS,P
44,Dominar 400,P
45,502 C,P
46,AD 250,P
47,Imperiale 400,P
48,Leoncino 500,P
49,502,P
50,F 650 GS,P
51,F 700 GS,P
52,F 800 GS,P
53,F 800 GS Adventure,P
54,F 800 GT,P
55,F 800 R,P
56,F 800 S,P
57,F 800 ST,P
58,G 650 GS Sertao,P
59,G 650 Xchallenge,P
60,G 650 Xcountry,P
61,G 650 Xmoto,P
62,HP2 Enduro,P
63,HP2 Megamoto,P
64,HP2 Sport,P
65,HP4 Sport,P
66,K 1200 R,P
67,K 1200 R Sport,P
68,K 1200 S,P
69,K 1300 GT,P
70,K 1300 R,P
71,K 1300 S,P
72,K 1600 Bagger,P
73,K 1600 GT,P
74,K 1600 GTL,P
75,K 1600 GTL Exclusive,P
76,R 1200 GS,P
77,R 1200 GS Adventure,P
78,R 1200 GT,P
79,R 1200 R,P
80,R 1200 RT,P
81,R 1200 S,P
82,R 1200 ST,P
83,R 1250 GS,P
84,R 1250 GS Adventure,P
85,R 1250 R,P
86,R 1250 RS,P
87,R 1250 RT,P
88,R 900 RT,P
89,R nineT 1200,P
90,R nineT 1200 Pure,P
91,R nineT 1200 Racer,P
92,R nineT 1200 Scrambler,P
93,R nineT 1200 Urban GS,P
94,S 1000 R,P
95,S 1000 RR,P
96,S 1000 XR,P
97,800,P
98,1000 Turbo,P
99,Max X DS Turbo RR,P
100,Max X RM Turbo RR,P
101,Max X RS Turbo RR,P
102,X DS Turbo RR,P
103,X MR Turbo RR,P
104,X RC Turbo RR,P
105,X RS Turbo RR,P
106,1000R X MR,P
107,800R MAX XT,P
108,XC 1000 T,P
109,650 V-Twin CVT,P
110,500 EFI,P
111,800 EFI,P
112,F3,P
113,250 NK,P
114,250 SR,P
115,650 NK,P
116,400,P
117,450,P
118,520,P
119,550 EFI 4X4,P
120,600,P
121,625,P
122,CF800,P
123,1000 EX,P
124,1000 SPORT,P
125,1000 Sport,P
126,RR,P
127,1200,P
128,1200 Carbon,P
129,1200 Titanium,P
130,1260 S,P
131,Diavel,P
132,Diavel AMG,P
133,Diavel Carbon,P
134,Diavel Cromo,P
135,Diavel Dark,P
136,Diavel Strada,P
137,Diavel Titanium,P
138,1100 Evo,P
139,1100 Evo SP,P
140,1100 S,P
141,796,P
142,821,P
143,939,P
144,950,P
145,1000 S,P
146,1200 R,P
147,1200 S,P
148,620,P
149,620 Dark,P
150,695,P
151,696,P
152,797,P
153,900 i.e.,P
154,937,P
155,S2R 1000,P
156,S2R 800,P
157,S4,P
158,S4R,P
159,S4R S Testastretta,P
160,S4R Testastretta,P
161,1000 DS,P
162,1000 S DS,P
163,1200 Enduro,P
164,1200 Enduro Pro,P
165,1200 S D-air,P
166,1200 S Gran Turismo,P
167,1200 S Pikes Peak,P
168,1200 S Sport,P
169,1200 S Touring,P
170,1200 S Touring D-air,P
171,1200 S Touring D|air,P
172,1260,P
173,1260 Enduro,P
174,1260 Enduro Pro,P
175,1260 S D-air,P
176,1260 S Pikes Peak,P
177,1260 S Touring D-air,P
178,950 S,P
179,Multistrada V41100,P
180,V4 1100,P
181,1100 Special,P
182,1100 Sport,P
183,Cafe Racer,P
184,Classic,P
185,Desert Sled,P
186,Full Throttle,P
187,Icon,P
188,Mach 2.0,P
189,Urban-Enduro,P
190,GT 1000,P
191,Paul Smart 1000 LE,P
192,Sport 1000,P
193,Sport 1000 S,P
194,Streetfighter,P
195,Streetfighter 1100 V4,P
196,Streetfighter 1100 V4S,P
197,Streetfighter 848,P
198,Streetfighter S,P
199,1000 Panigale V4 R,P
200,1098,P
201,1098 R,P
202,1098 R Bayliss LE,P
203,1098 S,P
204,1098 S Tricolore,P
205,1100 Panigale V4,P
206,1100 Panigale V4S,P
207,1198,P
208,1198 R Corse Special Edition,P
209,1198 S,P
210,1198 S Corse Special Edition,P
211,1198 SP,P
212,1199 Panigale,P
213,1199 Panigale R,P
214,1199 Panigale S,P
215,1199 Panigale S Tricolore,P
216,1299 Panigale,P
217,1299 Panigale S,P
218,749,P
219,749 Dark,P
220,749 R,P
221,749 S,P
222,848,P
223,848 Evo,P
224,899 Panigale,P
225,955 Panigale V2,P
226,959 Panigale,P
227,996 R,P
228,998,P
229,998 R,P
230,998 S,P
231,999,P
232,999 S,P
233,ST3,P
234,ST4s,P
235,ST4s ABS,P
236,939 SuperSport,P
237,939 SuperSport S,P
238,MH900 E,P
239,1262 S,P
240,Breakout 114,P
241,Road Glide 117,P
242,Street Glide 117,P
243,Road King SE,P
244,Electra Glide Ultra Classic SE,P
245,Electra Glide Ultra Limited,P
246,Street Glide,P
247,Softail Deluxe,P
248,Convertible Softail,P
249,Road Glide,P
250,Road Glide SE,P
251,Road Glide Ultra,P
252,Road Glide Ultra SE,P
253,Road Glide Custom,P
254,Road Glide Special,P
255,Road Glide Custom SE,P
256,Fat Bob SE,P
257,Screamin Eagle Dyna,P
258,Breakout SE,P
259,Softail Springer SE,P
260,Switchback,P
261,Super Glide,P
262,Street Bob,P
263,Super Glide Custom,P
264,Fat Bob,P
265,Low Rider,P
266,Wide Glide,P
267,Super Glide Sport,P
268,Electra Glide Revival 114,P
269,Fat Bob 114,P
270,Street 500,P
271,Street 750,P
272,Heritage Classic 107,P
273,Heritage Classic 114,P
274,Road Glide Special 114,P
275,Road King Special 114,P
276,Softail Slim 107,P
277,Softail Standard 107,P
278,Slim,P
279,Heritage,P
280,Heritage Classic,P
281,Fat Boy,P
282,Fat Boy Lo,P
283,Deluxe,P
284,Heritage Springer Classic,P
285,Cross Bones,P
286,Springer Classic,P
287,Rocker,P
288,Rocker C,P
289,Blackline,P
290,Breakout,P
291,Standard,P
292,Night Train,P
293,Custom,P
294,Deuce,P
295,Deuce SE,P
296,Springer,P
297,Sport Glide 107,P
298,1200 Custom,P
299,1200 Low,P
300,1200 Nightster,P
301,1200 Roadster,P
302,1200 Superlow,P
303,1200 Seventy-Two,P
304,1200 Sventy-Two,P
305,1200 Forty-Eight,P
306,883 Custom,P
307,883,P
308,883 Super Low,P
309,883 Iron,P
310,XR 1200,P
311,XR 1200X,P
312,Street Bob 114,P
313,Road King,P
314,Road King Classic,P
315,Road King Custom,P
316,Electra Glide,P
317,Electra Glide Classic,P
318,Electra Glide Ultra Classic,P
319,Electra Glide Ultra Classic Low,P
320,Tri Glide Ultra Classic,P
321,Electra Glide Ultra Limited Low,P
322,Street Glide Special,P
323,Street Glide Trike,P
324,Freewheeler,P
325,V-Rod,P
326,Night Rod,P
327,Night Rod Special,P
328,V-Rod Muscle,P
329,Street Rod,P
330,1000R,P
331,1000R ABS,P
332,1000R+ ABS,P
333,1100 EX,P
334,1100 EX ABS,P
335,1100 S ABS,P
336,1300 SUPER FOUR,P
337,1300 SUPER FOUR ABS,P
338,400 Super Bol d'Or,P
339,400 Super Bol d'Or ABS VTEC Revo,P
340,400 Super Bol d'Or VTEC Revo,P
341,400 Super Four,P
342,400 Super Four ABS,P
343,400 Super Four ABS VTEC Revo,P
344,400 Super Four VTEC Revo,P
345,500F,P
346,500F ABS,P
347,500X ABS,P
348,600F HORNET,P
349,600F HORNET ABS,P
350,650F,P
351,650F ABS,P
352,650F ABS 35KW,P
353,CB 650R,P
354,1000 ABS,P
355,1000F,P
356,1000F ABS,P
357,1000F ABS TS,P
358,1000S ABS,P
359,1000T ABS,P
360,1000RR,P
361,1000RR ABS,P
362,1000RR C-ABS,P
363,1000RR FIREBLADE,P
364,1000RR FIREBLADE ABS,P
365,1000RR FIREBLADE HRC,P
366,1000RR HRC,P
367,1000RR SP,P
368,1000RR SP ABS,P
369,1000RR SP1,P
370,1000RR SP2,P
371,1000RR SP2 HRC,P
372,CBR 1000 RR-R,P
373,CBR 1000 RR-R Fireblade SP,P
374,150R,P
375,250R,P
376,250R ABS,P
377,250R HRC,P
378,250RR,P
379,250RR HRC,P
380,500R,P
381,500R ABS,P
382,500R ABS HRC,P
383,CBR 500 R,P
384,CBR 500 R ABS,P
385,600F,P
386,600F ABS,P
387,600RR,P
388,600RR ABS,P
389,600RR ABS HRC,P
390,600RR HRC,P
391,650R ABS,P
392,CBR 650R,P
393,CRF 1100L Africa Twin,P
394,CRF 1100L Africa Twin Adventure,P
395,CRF 1100L Africa Twin Adventure DCT,P
396,CRF 1100L Africa Twin Adventure Sport ES DCT,P
397,CRF 1100L Africa Twin Adventure Sports ES,P
398,CRF 1100L Africa Twin DCT,P
399,Forza 750,P
400,110,P
401,110i,P
402,SH300i,P
403,1000X,P
404,110 eSP,P
405,110 ELECTRIC START,P
406,125 KICK START,P
407,750 35KW,P
408,750L,P
409,X-ADV 750,P
410,701 Enduro,P
411,701 Enduro LR,P
412,701 Supermoto,P
413,Svartpilen 401,P
414,701,P
415,1.8L,P
416,Thunder Stroke 111,P
417,FTR 1200,P
418,V-Twin,P
419,6F,P
420,6F ABS,P
421,6N,P
422,6N ABS,P
423,1000 ZX-10R,P
424,1000 ZX-10R ABS,P
425,1200 ZX-12R,P
426,250 R,P
427,300,P
428,300 ABS,P
429,400 KRT EX400,P
430,400 KRT EX400 ABS,P
431,600 ZX-6R,P
432,600 ZX-6R ABS,P
433,636 ZX-6R,P
434,636 ZX-6R ABS,P
435,636 ZX-6R KRT,P
436,650,P
437,650 KRT,P
438,H2,P
439,H2 1000,P
440,KRX 1000,P
441,650 ABS,P
442,650 Tourer,P
443,650 Tourer ABS,P
444,650 Tourer Plus ABS,P
445,1000 SX,P
446,1000 SX ABS,P
447,750 R,P
448,750 R ABS,P
449,750 S,P
450,800 ABS,P
451,800 e,P
452,800 e ABS,P
453,800 Performance,P
454,800 Performance ABS,P
455,900 A2,P
456,900 ABS,P
457,900 RS,P
458,1400,P
459,1050 Adventure,P
460,1090 Adventure,P
461,1090 Adventure R,P
462,1190 Adventure,P
463,1190 Adventure R,P
464,1290 Super Adventure,P
465,1290 Super Adventure R,P
466,1290 Super Adventure S,P
467,1290 Super Adventure T,P
468,790 Adventure,P
469,990 Adventure,P
470,990 Adventure Dakar ABS,P
471,990 Adventure R,P
472,125 Duke,P
473,125 Duke ABS,P
474,1290 Super Duke GT,P
475,1290 Super Duke GT ABS,P
476,1290 Super Duke R,P
477,1290 Super Duke R ABS,P
478,1290 Super Duke R SE ABS,P
479,1290 Super Duke RR,P
480,200 Duke,P
481,200 Duke ABS,P
482,390 Duke,P
483,390 Duke ABS,P
484,690 Duke,P
485,690 Duke R,P
486,790 Duke,P
487,990 Super Duke R,P
488,EXC 250 F,P
489,EXC 350 F,P
490,EXC 500 F,P
491,125 RC ABS,P
492,200 RC ABS,P
493,390 RC ABS,P
494,1190 RC8 R,P
495,1190 RC8 R Track,P
496,690 SMC R,P
497,SMR 450,P
498,990 Supermoto R,P
499,990 Supermoto T,P
500,990 Supermoto T ABS,P
501,SX 250 F,P
502,SX 350 F,P
503,690 Enduro,P
504,250 I.E.,P
505,250 I.E. Cruiser,P
506,250 I.E. Tourer,P
507,300 I.E. Tourer,P
508,350 I.E.,P
509,400 I.E.,P
510,400 I.E. Tourer,P
511,500 I.E.,P
512,500 I.E. Cruiser,P
513,500 I.E. Tourer,P
514,300 I.E. Cruiser,P
515,300 I.E.,P
516,LT 500IE Sport,P
517,Maxxi D120,D
518,125 I.E. LX,P
519,125 I.E. LX Touring,P
520,125 I.E. LXV,P
521,125 I.E. S,P
522,125 Super GTS,P
523,150 I.E. LX,P
524,150 I.E. LX Touring,P
525,150 I.E. S,P
526,250 I.E. GTS,P
527,250 I.E. GTV,P
528,300 Super Sport GTS,P
529,250,P
530,500,P
531,500 Evolution,P
532,500 SL,P
533,570,P
534,900 SP,P
535,750 Turbo,P
536,1000 EPS,P
537,XP 900,P
538,S 1000 EPS,P
539,1000 Turbo EPS,P
540,4 1000 EPS,P
541,450 HO,P
542,570 EFI,P
543,570 EPS,P
544,570 SP,P
545,X2 570 EPS,P
546,350cc,P
547,AT6,P
548,GSX 1300,P
