"id","name","brand_id","category_id"
"1","Atlantic 250","1","1"
"2","Atlantic 400","1","1"
"3","Atlantic 500","1","1"
"4","Caponord","1","1"
"5","Dorsoduro","1","1"
"6","Mana","1","1"
"7","RS","1","1"
"8","RS4","1","1"
"9","RSV","1","1"
"10","RSV4","1","1"
"11","Scarabeo","1","1"
"12","Shiver","1","1"
"13","Sportcity","1","1"
"14","Sportcity Cube","1","1"
"15","Sportcity Street","1","1"
"16","SR Max 125","1","1"
"17","SRV","1","1"
"18","Tuareg","1","1"
"19","Tuono","1","1"
"20","Dominar","2","1"
"21","502 C","3","1"
"22","Adiva","3","1"
"23","Imperiale","3","1"
"24","Leoncino 500","3","1"
"25","TRK","3","1"
"26","F 650","4","1"
"27","F 700","4","1"
"28","F 800","4","1"
"29","G 650","4","1"
"30","HP2","4","1"
"31","HP4","4","1"
"32","K 1200","4","1"
"33","K 1300","4","1"
"34","K 1600","4","1"
"35","R 1200","4","1"
"36","R 1250","4","1"
"37","R 900","4","1"
"38","R Ninet","4","1"
"39","S 1000","4","1"
"40","Commander","5","1"
"41","Maverik","5","1"
"42","Maverik X3","5","1"
"43","Outlander","5","1"
"44","Outlander X","5","1"
"45","Outlander XT","5","1"
"46","Renegade","5","1"
"47","Spyder","5","1"
"48","250 NK","6","1"
"49","250 SR","6","1"
"50","650 NK","6","1"
"51","Cforce","6","1"
"52","UFORCE","6","1"
"53","UFORCE 1000","6","1"
"54","Z8 EX","6","1"
"55","Z8S","6","1"
"56","ZFORCE 1000","6","1"
"57","Desmosedici Rr","7","1"
"58","Diavel","7","1"
"59","Hypermotard","7","1"
"60","Hyperstrada","7","1"
"61","Monster","7","1"
"62","Multistrada","7","1"
"63","Scrambler","7","1"
"64","Sportclassic","7","1"
"65","Streetfighter","7","1"
"66","Superbike","7","1"
"67","Supersport","7","1"
"68","XDiavel","7","1"
"69","Breakout","8","1"
"70","Cvo","8","1"
"71","Dyna","8","1"
"72","Electra Glide","8","1"
"73","Fat Bob","8","1"
"74","Hd Street","8","1"
"75","Heritage","8","1"
"76","Road King","8","1"
"77","Softail","8","1"
"78","Sport Glide","8","1"
"79","Sportster","8","1"
"80","Street Bob","8","1"
"81","Touring","8","1"
"82","Trike","8","1"
"83","Vrsc","8","1"
"84","CB1000R","9","1"
"85","CB1000R+","9","1"
"86","CB1100","9","1"
"87","CB1300","9","1"
"88","CB400","9","1"
"89","CB500F","9","1"
"90","CB500X","9","1"
"91","CB600F","9","1"
"92","CB650F","9","1"
"93","CB650R","9","1"
"94","CBF1000","9","1"
"95","CBF1000F","9","1"
"96","CBF1000S","9","1"
"97","CBF1000T","9","1"
"98","CBR1000RR","9","1"
"99","CBR150R","9","1"
"100","CBR250R","9","1"
"101","CBR250RR","9","1"
"102","CBR500R","9","1"
"103","CBR600F","9","1"
"104","CBR600RR","9","1"
"105","CBR650F","9","1"
"106","CBR650R","9","1"
"107","CRF1100L Africa Twin","9","1"
"108","Forza 750","9","1"
"109","LEAD 110","9","1"
"110","SCOOPY 110","9","1"
"111","SH300","9","1"
"112","TALON 1000","9","1"
"113","VARIO 110","9","1"
"114","WAVE 110","9","1"
"115","WAVE 125","9","1"
"116","X-ADV750","9","1"
"117","Enduro","10","1"
"118","Supermoto","10","1"
"119","Svartpilen","10","1"
"120","Vitpilen","10","1"
"121","Challenger","11","1"
"122","Chief Classic","11","1"
"123","Chief Roadmaster","11","1"
"124","Chief Vintage","11","1"
"125","Chieftain","11","1"
"126","FTR","11","1"
"127","Scout","11","1"
"128","ER","12","1"
"129","Ninja","12","1"
"130","Teryx","12","1"
"131","Teryx Camo","12","1"
"132","Teryx LE","12","1"
"133","Teryx4","12","1"
"134","Teryx4 Camo","12","1"
"135","Teryx4 LE","12","1"
"136","Versys","12","1"
"137","W","12","1"
"138","Z","12","1"
"139","ZRX","12","1"
"140","ZZR","12","1"
"141","Adventure","13","1"
"142","Duke","13","1"
"143","Exc","13","1"
"144","RC","13","1"
"145","RC8","13","1"
"146","SMC","13","1"
"147","SMR","13","1"
"148","Supermoto","13","1"
"149","SX","13","1"
"150","Travel","13","1"
"151","Beverly","14","1"
"152","Carnaby","14","1"
"153","Mp3","14","1"
"154","Porter","14","1"
"155","Vespa","14","1"
"156","X7","14","1"
"157","X8","14","1"
"158","X9","14","1"
"159","Xevo","14","1"
"160","ACE","15","1"
"161","FS","15","1"
"162","FST","15","1"
"163","General","15","1"
"164","Ranger","15","1"
"165","Ranger Crew","15","1"
"166","Ranger XP","15","1"
"167","RZR","15","1"
"168","RZR XP","15","1"
"169","Sportsman","15","1"
"170","Sportsman XP","15","1"
"171","Quadro4","16","1"
"172","Quadro4 Steinbock","16","1"
"173","Snarler","17","1"
"174","B-King","18","1"
"175","Bandit GFS1250","18","1"
"176","Custom","18","1"
"177","Gladius","18","1"
"178","Naked","18","1"
"179","Sport Enduro Tourer","18","1"
"180","Street","18","1"
"181","Supersport","18","1"
"182","FJR","19","1"
