id,year,model_id
1,2006,1
2,2008,2
3,2007,3
4,2013,4
5,2015,4
6,2012,5
7,2010,5
8,2017,5
9,2007,6
10,2009,6
11,2021,7
12,2011,8
13,2004,9
14,2006,9
15,2021,10
16,2019,10
17,2009,10
18,2011,10
19,2016,10
20,2015,10
21,2009,11
22,2005,11
23,2008,12
24,2010,12
25,2009,12
26,2017,12
27,2006,13
28,2009,14
29,2008,14
30,2008,15
31,2011,16
32,2011,17
33,2021,18
34,2003,19
35,2005,19
36,2006,19
37,2004,19
38,2021,19
39,2015,19
40,2017,19
41,2011,19
42,2013,19
43,2016,20
44,2019,21
45,2006,22
46,2021,23
47,2017,24
48,2017,25
49,2006,26
50,2011,27
51,2014,27
52,2006,28
53,2014,28
54,2012,28
55,2015,28
56,2011,28
57,2005,28
58,2004,28
59,2010,29
60,2006,29
61,2004,30
62,2006,30
63,2007,30
64,2011,31
65,2004,32
66,2005,32
67,2003,32
68,2007,33
69,2017,34
70,2010,34
71,2015,34
72,2013,34
73,2002,35
74,2005,35
75,2011,35
76,2015,35
77,2012,35
78,2017,35
79,2004,35
80,2013,35
81,2014,35
82,2003,35
83,2018,36
84,2005,37
85,2013,38
86,2015,38
87,2016,38
88,2013,39
89,2016,39
90,2008,39
91,2009,39
92,2015,39
93,2018,39
94,2014,39
95,2011,40
96,2012,41
97,2014,41
98,2021,42
99,2014,43
100,2008,43
101,2018,44
102,2018,45
103,2008,46
104,2014,47
105,2018,48
106,2020,49
107,2019,50
108,2021,50
109,2019,51
110,2021,51
111,2017,51
112,2021,52
113,2020,53
114,2016,54
115,2016,55
116,2019,56
117,2020,56
118,2021,56
119,2008,57
120,2015,58
121,2020,58
122,2011,58
123,2012,58
124,2013,58
125,2008,59
126,2010,59
127,2013,59
128,2019,59
129,2013,60
130,2004,61
131,2005,61
132,2009,61
133,2011,61
134,2014,61
135,2017,61
136,2016,61
137,2006,61
138,2007,61
139,2008,61
140,2002,61
141,2010,61
142,2001,61
143,2021,61
144,2005,62
145,2007,62
146,2010,62
147,2015,62
148,2016,62
149,2013,62
150,2012,62
151,2014,62
152,2018,62
153,2019,62
154,2020,62
155,2021,62
156,2017,63
157,2015,63
158,2007,64
159,2006,64
160,2009,65
161,2018,65
162,2011,65
163,2019,66
164,2007,66
165,2008,66
166,2018,66
167,2009,66
168,2010,66
169,2011,66
170,2012,66
171,2013,66
172,2015,66
173,2003,66
174,2005,66
175,2004,66
176,2014,66
177,2020,66
178,2017,66
179,2001,66
180,2002,66
181,2003,67
182,2005,67
183,2001,67
184,2017,67
185,2016,68
186,2021,69
187,2021,70
188,2008,70
189,2013,70
190,2007,70
191,2014,70
192,2010,70
193,2011,70
194,2000,70
195,2012,70
196,2015,70
197,2009,70
198,2012,71
199,2007,71
200,2008,71
201,2011,71
202,2014,71
203,2006,71
204,2005,71
205,2001,71
206,2015,71
207,2004,71
208,2021,72
209,2021,73
210,2014,74
211,2021,75
212,2021,76
213,2021,77
214,2013,77
215,2005,77
216,2007,77
217,2011,77
218,2012,77
219,2003,77
220,2010,77
221,2008,77
222,2014,77
223,2001,77
224,2002,77
225,2004,77
226,2021,78
227,2008,79
228,2014,79
229,2007,79
230,2015,79
231,2012,79
232,2010,79
233,2011,79
234,2009,79
235,2021,80
236,2007,81
237,2011,81
238,2006,81
239,2014,81
240,2002,81
241,2003,81
242,2004,81
243,2012,81
244,2001,81
245,2015,81
246,2009,81
247,2010,81
248,2015,82
249,2002,83
250,2007,83
251,2004,83
252,2006,83
253,2008,83
254,2009,83
255,2008,84
256,2009,84
257,2010,84
258,2011,84
259,2012,84
260,2013,84
261,2014,84
262,2015,84
263,2018,84
264,2019,84
265,2020,84
266,2018,85
267,2013,86
268,2014,86
269,2008,87
270,2009,87
271,2010,87
272,2011,88
273,2012,88
274,2008,88
275,2009,88
276,2010,88
277,2013,88
278,2013,89
279,2014,89
280,2015,89
281,2018,89
282,2016,89
283,2016,90
284,2011,91
285,2012,91
286,2013,91
287,2014,92
288,2016,92
289,2017,92
290,2021,93
291,2006,94
292,2007,94
293,2008,94
294,2009,94
295,2010,94
296,2010,95
297,2011,95
298,2012,95
299,2007,96
300,2008,96
301,2009,96
302,2007,97
303,2008,97
304,2009,97
305,2010,97
306,2004,98
307,2005,98
308,2006,98
309,2007,98
310,2008,98
311,2009,98
312,2010,98
313,2011,98
314,2012,98
315,2013,98
316,2014,98
317,2015,98
318,2016,98
319,2017,98
320,2019,98
321,2018,98
322,2020,98
323,2010,99
324,2016,99
325,2017,99
326,2011,100
327,2012,100
328,2013,100
329,2014,100
330,2017,101
331,2013,102
332,2015,102
333,2017,102
334,2018,102
335,2014,102
336,2016,102
337,2019,102
338,2020,102
339,2011,103
340,2012,103
341,2003,104
342,2004,104
343,2005,104
344,2006,104
345,2007,104
346,2008,104
347,2009,104
348,2010,104
349,2011,104
350,2012,104
351,2013,104
352,2014,104
353,2015,104
354,2016,104
355,2017,104
356,2015,105
357,2016,105
358,2019,105
359,2019,106
360,2020,106
361,2021,106
362,2020,107
363,2021,107
364,2021,108
365,2010,109
366,2011,110
367,2012,110
368,2018,110
369,2019,111
370,2019,112
371,2020,112
372,2015,113
373,2009,114
374,2010,115
375,2017,116
376,2018,116
377,2019,116
378,2021,116
379,2016,117
380,2018,117
381,2021,117
382,2016,118
383,2021,118
384,2018,119
385,2018,120
386,2021,121
387,2014,122
388,2014,123
389,2014,124
390,2014,125
